"X","time","month","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","rainfall","clazz"
2120,"1975-11-06",11,0.386,0.21,0.321,0.989,-0.966,74.22,-1.058,-0.532,0.449,-0.291,-0.942,100.64,0.552,0.256,0.719,-0.525,0.079,-0.671,-0.074,233.35,0.703,1.105,1.44,0.088,-0.116,0.023,8.055,1
2121,"1975-11-07",11,0.652,-0.1,0.069,0.523,0.179,76.62,-0.605,-0.859,-0.183,-0.66,-0.166,180.58,0.552,0.187,0.719,0.233,-0.515,-0.798,-0.797,244.31,0.913,0.987,0.091,-0.582,-0.425,-0.188,1.286,1
2122,"1975-11-08",11,0.479,-0.015,0.184,-0.098,0.047,86.62,-0.153,-0.287,-0.815,-0.808,0.144,228.08,0.552,-0.154,0.566,0.304,-0.652,-0.558,0.02,252.93,0.643,-0.39,0.005,-0.628,-0.318,-0.055,0.973,1
2124,"1975-11-10",11,0.342,0.041,0.207,-1.418,0.311,104.28,1.204,-0.123,-0.942,-0.882,0.144,231.88,0.973,-0.709,0.337,0.223,-0.591,-0.492,1.055,254.88,0.583,0.721,-0.279,0.226,-0.241,-0.174,0.515,1
2125,"1975-11-11",11,0.28,0.097,0.23,-1.418,0.355,104.32,1.204,-0.859,-0.563,-0.365,0.867,242.01,0.552,-0.563,0.292,-0.215,-0.287,-0.053,1.317,267.98,0.103,1.761,0.108,0.18,-0.274,-0.147,0.6,1
2127,"1975-11-13",11,-0.108,-0.128,0.092,-0.331,0.135,90,0.299,-1.187,-0.183,-0.365,0.867,192.69,0.552,-0.163,-0.121,-0.631,0.083,-0.288,1.418,259.1,0.403,1.536,0.967,0.203,-0.142,0.019,1.818,1
2128,"1975-11-14",11,-0.38,0.436,0.504,0.989,-0.129,75.96,-1.058,-0.778,0.259,-0.365,0.247,113.83,0.552,-0.456,-0.579,-0.311,0.087,-1.013,0.914,222.33,1.243,1.158,1.276,0.665,-0.049,-0.079,8.414,1
2129,"1975-11-15",11,0.172,0.521,0.504,1.687,-0.702,68.62,-1.51,-1.187,-0.31,-0.291,-0.425,229.48,0.552,-0.212,0.078,0.741,-0.877,-0.992,0.225,245.49,1.093,-0.071,1.681,1.289,-0.252,-0.345,0.556,1
2136,"1975-11-22",11,0.687,0.549,0.619,0.523,0.399,80.82,-0.153,1.432,-1.258,-2.358,-0.218,210.64,2.657,-0.67,0.246,2.526,-1.521,-2.866,0.124,227.09,3.102,-1.418,-0.21,-0.028,-0.817,-0.961,4.013,1
2137,"1975-11-23",11,1.65,1.48,1.397,-0.254,-0.834,89.49,0.299,1.023,-0.373,-2.358,-0.218,185.47,2.236,-0.982,0.658,2.602,-1.418,-3.019,-2.272,223.94,2.922,-1.447,-1.07,0.873,-1.322,-1.724,0.498,1
2138,"1975-11-24",11,1.738,1.142,1.123,-0.098,0.355,88.1,0.299,-0.041,-0.879,-1.103,-0.115,221.98,0.973,-0.874,1.299,1.367,-1.285,-1.309,-0.229,244.19,1.393,-1.418,0.623,-0.028,-1.027,-1.075,0.03,1
2139,"1975-11-25",11,1.435,1.396,1.306,0.756,0.399,82.11,-0.605,-0.287,-1.005,-0.513,0.247,248.41,0.552,-0.524,1.33,0.812,-1.071,-0.334,0.511,261.72,0.553,-1.453,0.572,-0.374,-0.908,-0.842,0.009,1
2141,"1975-11-27",11,0.349,1.791,1.581,1.92,0.663,75.57,-1.51,-1.023,0.133,-0.217,-0.218,97.71,0.131,-1.215,-0.136,0.65,-0.843,-0.859,-0.01,247.69,0.763,-0.809,0.916,0.249,-0.788,-0.753,0.985,1
2142,"1975-11-28",11,0.397,1.198,1.168,0.212,0.84,85.99,-0.153,-1.269,-0.12,-0.07,-0.425,75.56,0.131,-0.991,-0.044,0.574,-0.908,-0.226,-0.36,263.32,0.193,-1.17,0.297,-0.582,-0.862,-0.712,0.985,1
2143,"1975-11-29",11,0.451,1.029,1.031,0.057,-0.746,86.68,-0.153,-1.269,-0.31,-0.144,0.247,270,0.131,-0.582,0.124,0.945,-1.193,-0.16,0.033,265.82,0.253,0.709,0.701,-0.305,-0.729,-0.7,3.853,1
2144,"1975-11-30",11,0.445,1.085,1.054,0.134,-0.438,86.06,-0.153,-0.941,-0.563,-0.07,-0.27,277.43,0.131,-0.582,0.246,1.001,-1.231,-0.017,-0.148,269.01,0.103,1.141,1.01,0.573,-0.486,-0.496,1.927,1
2145,"1975-12-01",12,0.026,1.029,1.031,0.367,-0.482,84.36,-0.153,-0.941,0.196,-0.291,-0.27,110.72,0.131,-0.904,-0.197,-0.184,-0.271,-0.512,0.185,249.67,0.463,1.944,0.976,1.243,-0.44,-0.54,0.436,1
2151,"1975-12-07",12,0.066,0.521,0.55,1.066,-0.834,75.16,-1.058,-0.532,0.196,0.521,-0.735,35.12,-0.29,-0.329,0.154,-0.296,-0.241,-0.053,1.136,270.3,0.043,0.443,0.211,1.081,-0.247,-0.274,0.04,1
2152,"1975-12-08",12,0.118,0.436,0.504,0.756,-0.305,78.13,-1.058,-0.778,0.133,0.373,0.144,33.48,-0.29,-0.28,0.169,-0.067,-0.393,-0.201,1.542,265.52,0.163,1.761,0.821,0.919,-0.257,-0.329,10.661,1
2153,"1975-12-09",12,0.613,0.549,0.642,0.367,-1.142,83.08,-0.605,-0.696,-0.626,-0.513,0.505,227.66,0.552,-0.231,0.383,2.078,-1.788,-1.554,0.89,245.13,1.333,1.637,1.5,1.589,-0.763,-0.911,19.776,1
2154,"1975-12-10",12,1.255,1.085,1.077,0.134,-1.759,86.44,-0.153,0.123,-1.068,-1.103,-0.218,227.2,1.394,-0.28,0.857,2.028,-1.742,-1.543,-1.022,244.72,1.663,-0.591,1.578,0.827,-1.005,-1.132,5.27,1
2156,"1975-12-12",12,1.573,1.17,1.146,0.523,-0.526,83.38,-0.605,-0.696,-0.626,-0.513,-0.476,236,0.552,-0.952,1.147,2.028,-1.932,-0.829,0.413,256.6,0.943,0.544,1.165,-0.097,-1.286,-1.406,2.324,1
2157,"1975-12-13",12,1.271,1.311,1.214,0.989,0.752,79.98,-1.058,-0.205,-1.068,-0.586,1.074,249.89,0.552,-1.196,0.734,2.139,-1.948,-1.15,1.674,252.66,1.063,1.968,1.474,1.381,-0.954,-1.309,11.443,1
2158,"1975-12-14",12,1.366,1.763,1.581,1.299,-0.041,79.33,-1.51,0.123,-0.31,-1.546,0.867,185.53,1.394,-1.547,0.49,3.121,-2.138,-2.804,-0.323,234,2.562,0.851,1.698,1.52,-1.372,-1.686,27.664,1
2159,"1975-12-15",12,1.64,2.864,2.451,1.998,0.047,78.95,-1.51,-0.205,-0.057,-1.251,-0.27,164.34,0.973,-2.024,0.582,2.343,-1.757,-2.161,-1.24,237.04,2.142,-1.146,1.225,-0.397,-1.618,-1.908,2.093,1
2163,"1975-12-19",12,1.602,0.718,0.779,0.057,-0.834,86.21,-0.153,-0.696,-0.752,-0.291,-0.27,259.62,0.131,-0.066,1.696,1.128,-1.296,-0.293,1.274,263.98,0.373,-1.022,0.589,-0.235,-0.961,-1.028,6.618,1
2164,"1975-12-20",12,1.132,1.283,1.214,0.29,0.355,85.44,-0.153,-0.941,0.006,-0.513,0.299,151.42,0.552,-0.874,0.719,1.351,-1.113,-1.676,0.487,236.18,1.603,2.328,1.569,2.074,-1.085,-1.411,36.093,1
2165,"1975-12-21",12,1.047,2.158,1.878,1.687,-0.217,78.42,-1.51,-0.45,0.259,-0.882,-0.58,146.2,0.973,-2.024,-0.121,1.717,-1.216,-2.095,-1.516,231.58,2.052,1.607,0.821,-0.051,-1.56,-1.863,7.167,1
2169,"1975-12-25",12,1.238,0.577,0.642,0.445,-0.922,82.25,-0.153,-1.105,-0.057,0.078,-0.683,40.52,-0.29,-0.426,0.734,0.274,-0.694,-0.043,-0.357,267.62,0.043,-0.868,0.014,-0.79,-1.353,-1.213,1.089,1
2170,"1975-12-26",12,1.189,0.662,0.71,0.833,-1.054,79.08,-0.605,-0.778,-0.689,0.078,-0.683,287.91,0.131,-0.426,1.07,0.889,-1.151,0.054,0.154,270.37,0.013,1.176,0.306,-1.344,-1.043,-0.886,0.074,1
2171,"1975-12-27",12,1.639,0.831,0.848,0.212,-1.318,84.93,-0.605,0.204,-1.258,-0.882,-0.787,239.01,0.973,-0.855,1.269,2.251,-2.028,-1.201,-0.672,251.74,1.183,0.981,0.632,-0.905,-1.45,-1.508,0.646,1
2172,"1975-12-28",12,1.141,2.807,2.428,1.61,-1.847,80.65,-1.51,-0.041,-0.247,-1.398,-0.735,180,1.394,-2.024,0.108,2.302,-1.647,-2.324,-0.609,234.29,2.382,-1.423,1.474,0.273,-1.536,-1.907,2.423,1
2173,"1975-12-29",12,0.957,1.509,1.397,-1.186,-0.261,96.33,1.204,-0.041,-0.499,-1.398,-0.425,196.01,1.394,-1.917,-0.38,1.499,-1.048,-2.013,-1.755,230.47,1.932,-1.524,-1.963,-0.282,-1.611,-1.905,0.008,1
2177,"1976-01-02",1,0.355,0.634,0.504,2.541,0.399,61.02,-2.415,-0.287,0.385,0.668,-0.063,39.06,-0.711,-1.137,-0.136,-0.596,0.026,0.371,0.191,285.66,-0.437,1.382,0.641,1.035,-0.754,-0.772,13.364,1
2180,"1976-01-05",1,0.913,2.186,1.947,0.523,1.06,85.24,-0.153,0.204,0.701,-1.251,-0.787,136.34,1.394,-2.491,-0.044,1.478,-1.433,-1.104,-1.365,248.65,1.273,-1.004,1.173,-0.882,-1.605,-1.78,0.124,1
2182,"1976-01-07",1,0.715,1.65,1.535,-0.098,1.853,88.68,0.299,-0.123,0.765,-0.586,0.247,111.33,0.552,-2.725,-0.304,-0.382,-0.172,-0.119,0.141,264.53,0.073,-1.075,0.194,-1.667,-1.751,-1.588,0.178,1
2184,"1976-01-09",1,1.424,1.989,1.787,0.833,0.091,83.22,-0.605,-0.941,-0.373,-0.513,-0.321,180,0.552,-1.907,0.689,1.438,-1.54,-0.426,-0.699,261.44,0.373,-0.638,0.503,-0.536,-1.532,-1.685,0.431,1
2187,"1976-01-12",1,1.521,1.283,1.237,0.057,0.928,86.98,0.299,-0.941,-0.12,-0.586,-0.011,150.71,0.552,-1.868,0.566,0.868,-1.048,-0.747,-0.43,252.2,0.643,-1.299,0.839,0.019,-1.57,-1.799,0.052,1
2189,"1976-01-14",1,1.385,0.831,0.825,0.756,0.752,80.17,-0.605,-0.941,-0.436,-0.365,-0.838,229.75,0.552,-2.034,0.673,1.362,-1.464,-0.563,-0.652,258.62,0.583,-1.211,0.297,-0.905,-1.527,-1.716,1.569,1
2190,"1976-01-15",1,1.064,0.972,0.871,1.765,1.412,71.93,-1.51,-1.023,-0.373,0.152,-0.528,319.56,-0.29,-2.491,0.093,0.924,-1.174,-0.155,-0.733,265.77,-0.047,0.432,0.615,0.088,-1.401,-1.641,25.386,1
2191,"1976-01-16",1,0.285,0.972,0.871,1.92,1.632,70.6,-1.962,-0.778,-0.689,-0.291,0.092,254.83,0.131,-2.394,-0.625,0.945,-1.167,-0.39,-0.615,260.78,0.463,1.306,0.77,1.243,-1.087,-1.297,11.525,1
2192,"1976-01-17",1,0.307,1.198,1.168,-0.875,0.179,94.37,1.204,-0.287,-0.247,-1.177,-0.476,187.5,0.973,-2.053,-0.716,1.143,-1.079,-1.319,-0.945,241.41,1.453,-1.394,-1.293,0.042,-1.491,-1.678,0.127,1
2195,"1976-01-20",1,1.279,1.142,1.123,-0.176,-1.539,88.71,0.299,-0.696,-0.247,-0.734,-0.735,180,0.973,-0.426,0.963,0.716,-1.003,-0.334,0.427,261.32,0.253,-1.418,0.744,0.249,-1.307,-1.502,0.672,1
2204,"1976-01-29",1,1.586,0.775,0.802,0.523,-0.394,81.88,-0.605,-0.614,-0.436,-0.808,-0.58,202.75,0.973,-0.787,1.574,1.178,-1.285,-0.783,0.675,253.89,0.973,-0.981,0.22,-0.005,-1.223,-1.355,0.327,1
2206,"1976-01-31",1,0.907,1.311,1.26,-0.098,0.752,88.5,0.299,-0.614,0.322,-0.66,-0.115,131.8,0.552,-2.238,0.032,0.863,-0.98,-0.977,0.225,247.39,1.033,-0.939,1.276,-0.259,-1.462,-1.572,0.021,1
2210,"1976-02-04",2,-0.197,1.791,1.604,1.61,1.368,77.64,-1.51,0.45,0.891,-1.325,0.919,133.96,1.394,-2.871,-1.266,0.767,-0.005,-2.202,-0.471,206.06,1.842,-0.969,0.151,0.342,-1.386,-1.435,2.641,1
2211,"1976-02-05",2,1.047,1.085,1.054,-1.496,0.487,99.63,2.109,0.204,0.259,-1.546,-0.89,161.44,1.815,-2.618,-0.228,1.301,-1.026,-1.64,-1.966,235.01,1.573,-1.418,-2.505,-1.229,-1.866,-2.283,0.115,1
2219,"1976-02-13",2,0.642,0.408,0.413,1.61,-0.394,68.9,-1.51,-0.041,0.196,1.037,-0.942,18.31,-1.132,-0.436,0.765,-0.489,0.978,1.269,-0.703,11.41,-1.277,-1.553,-0.477,0.527,-0.668,-0.651,0.217,1
2224,"1976-02-18",2,0.512,0.747,0.733,1.377,1.192,74.16,-1.51,-0.532,0.449,0.152,-0.735,70.75,0.131,-0.602,0.475,0.279,-0.675,-0.293,1.052,261.04,0.283,-0.714,1.217,1.196,-0.849,-1.083,0.796,1
2225,"1976-02-19",2,1.04,0.916,0.917,0.989,1.06,78.85,-1.058,-0.778,0.322,-0.365,-0.27,108.85,0.552,-0.904,0.734,1.565,-1.532,-1.007,0.117,251.24,1.003,-0.662,1.543,1.612,-1.176,-1.441,5.759,1
2228,"1976-02-22",2,0.288,0.972,0.985,0.523,0.707,82.86,-0.153,-0.041,0.828,-0.513,-0.115,106.46,0.552,-1.605,-0.487,0.823,-0.835,-1.247,-0.646,238.86,1.303,-0.815,1.414,0.758,-1.248,-1.499,0.246,1
2229,"1976-02-23",2,0.597,0.408,0.504,-0.875,1.456,96.2,1.204,-0.532,0.196,-0.882,-0.218,149.61,0.973,-1.956,-0.472,0.792,-0.873,-1.084,-0.478,243.05,1.183,-1.11,1.397,-0.235,-1.516,-1.676,0.858,1
2230,"1976-02-24",2,0.459,1.255,1.214,-0.797,1.412,93.35,0.752,-0.859,-0.057,-0.586,0.299,159.42,0.973,-2.394,-0.563,0.701,-0.93,-0.686,0.954,252.95,0.643,-0.029,1.388,-0.143,-1.338,-1.5,17.939,1
2231,"1976-02-25",2,0.245,1.17,1.146,0.057,0.223,87.18,-0.153,-0.778,0.133,-0.513,1.539,130.06,0.552,-2.326,-0.808,0.701,-0.786,-1.14,1.469,241.71,0.853,-0.443,1.276,0.388,-1.292,-1.401,7.921,1
2232,"1976-02-26",2,0.374,0.295,0.413,0.445,0.355,81.05,-0.153,-0.859,-0.12,0.373,-0.063,179.31,-0.711,-1.644,-0.105,0.136,-0.565,-0.308,0.289,259.28,0.043,0.999,0.744,0.319,-0.808,-0.811,0.007,1
2234,"1976-02-28",2,-0.71,0.888,0.917,0.445,-0.305,83.36,-0.605,1.023,1.586,0.521,0.299,72.75,-0.29,-1.05,-1.067,-1.17,0.616,0.289,1.253,136.93,-0.077,-0.614,0.22,0.573,-0.502,-0.7,19.934,1
2235,"1976-02-29",2,0.185,1.678,1.535,0.678,0.619,83.62,-0.605,0.532,1.017,-1.251,0.764,128.78,1.394,-1.741,-1.189,1.722,-1.216,-2.054,-1.422,231.7,2.022,-1.193,1.44,1.15,-1.518,-1.943,1.135,1
2236,"1976-03-01",3,0.857,1.847,1.649,1.222,-0.041,80.12,-1.058,0.204,0.638,-1.251,0.66,139.33,1.394,-2.014,-0.426,1.336,-1.026,-1.763,-0.783,232.74,1.722,-0.933,1.156,-0.443,-1.645,-1.918,8.968,1
2237,"1976-03-02",3,1.488,1.65,1.512,0.445,-0.966,84.91,-0.605,-0.45,0.133,-0.882,-0.373,154.7,0.973,-1.858,0.475,1.443,-1.266,-1.487,-1.335,240.76,1.393,-0.65,0.555,-0.189,-1.767,-2.039,1.478,1
2238,"1976-03-03",3,1.757,1.537,1.443,0.367,-0.702,85.06,-0.153,-0.368,0.449,-0.808,-0.528,135.2,0.973,-1.858,0.734,0.731,-0.85,-0.946,-1.896,245.29,0.883,0.16,-1.147,-2.014,-1.94,-2.103,0.345,1
2239,"1976-03-04",3,1.199,1.198,1.1,1.687,0.663,74.58,-1.51,-1.023,0.069,-0.217,-0.166,98.22,0.131,-2.014,0.231,0.111,-0.572,0.013,-0.575,268.61,-0.167,-0.171,0.065,-1.529,-1.644,-1.653,5.794,1
2240,"1976-03-05",3,0.979,0.831,0.848,0.134,-0.173,85.82,-0.605,-0.778,0.322,-0.217,-0.166,93.5,0.131,-1.576,0.475,-0.474,-0.119,-0.145,-0.081,262.31,0.013,-0.195,0.821,0.203,-1.333,-1.338,0.265,1
2246,"1976-03-11",3,-0.495,0.888,0.894,0.212,-0.394,85.05,-0.153,1.514,2.029,0.447,0.04,76.75,-0.29,-1.03,-0.762,-1.47,0.83,0.019,0.42,137.93,-0.047,-0.532,-0.803,-0.674,-0.586,-0.536,8.576,1
2247,"1976-03-12",3,0.407,1.114,1.1,0.134,0.091,86.47,-0.153,0.123,0.954,-0.66,-0.321,111.77,0.973,-1.147,-0.212,0.807,-0.915,-0.972,-0.73,245.26,1.033,-1.217,1.156,0.504,-1.289,-1.375,2.152,1
2252,"1976-03-17",3,-0.323,-0.072,0.115,0.212,0.003,81.76,-0.153,-0.041,0.575,0.816,-0.115,43.16,-0.711,-0.309,-0.273,-0.972,0.59,0.728,0.887,332.05,-0.797,0.16,0.675,1.312,-0.126,-0.371,0.617,1
2253,"1976-03-18",3,0.222,0.38,0.481,0.134,-0.658,85.05,-0.153,-0.205,0.765,0.004,0.557,82.36,0.131,-0.387,-0.014,0.324,-0.629,-0.681,1.072,247.61,0.673,-0.461,1.259,1.566,-0.816,-1.081,0.06,1
2254,"1976-03-19",3,1.356,0.86,0.894,-0.176,-0.438,88.93,0.299,-0.205,0.385,-1.029,-0.218,145.51,0.973,-0.796,0.49,2.038,-1.704,-1.64,-1.187,242.75,1.543,-0.709,1.62,0.804,-1.548,-1.888,1.21,1
2255,"1976-03-20",3,1.276,1.114,1.1,-0.409,-0.261,90.64,0.752,-0.532,0.259,-0.734,-0.166,136.7,0.552,-1.079,0.49,1.311,-1.391,-0.752,-0.565,254.73,0.643,-0.195,1.551,0.527,-1.318,-1.526,8.16,1
2256,"1976-03-21",3,0.87,1.001,1.008,-0.953,-0.526,95.38,1.204,-0.778,0.322,-0.365,-0.27,110.23,0.552,-1.079,0.429,0.685,-0.953,-0.456,1.042,258.72,0.253,-0.555,1.44,1.243,-1.003,-1.205,3.137,1
2257,"1976-03-22",3,0.612,1.029,1.008,-0.953,-0.35,95,0.752,-0.859,0.196,-0.439,0.764,120.56,0.552,-1.157,0.063,0.985,-1.128,-0.778,1.257,253.09,0.523,0.219,1.509,2.051,-0.877,-1.119,2.225,1
2258,"1976-03-23",3,0.577,1.226,1.191,-0.176,-1.142,88.76,0.299,-1.105,0.006,-0.217,0.66,101.91,0.131,-1.05,0.047,1.55,-1.502,-1.089,1.102,250.24,0.763,0.479,1.681,2.189,-0.859,-1.139,1.937,1
2259,"1976-03-24",3,0.687,0.747,0.779,0.756,0.047,79.82,-0.605,-1.023,0.069,0.004,-0.166,72.32,0.131,-0.855,0.307,1.59,-1.57,-0.946,0.743,252.8,0.583,1.147,1.654,2.12,-0.839,-1.041,18.858,1
2260,"1976-03-25",3,0.859,-0.072,0.138,-0.176,-0.173,88.21,-0.153,-0.532,0.069,0.521,-0.58,22.58,-0.711,0.061,1.055,-0.138,-0.359,0.304,0.064,279.26,-0.377,-1.246,1.397,1.727,-0.394,-0.477,0.009,1
2261,"1976-03-26",3,0.423,0.351,0.459,0.29,-1.186,83.2,-0.153,0.45,1.144,0.594,-0.942,64.69,-0.29,0.09,0.75,-1.302,0.59,0.192,0.238,300.76,-0.227,-0.449,0.726,1.727,-0.362,-0.533,0.03,1
2262,"1976-03-27",3,0.198,0.549,0.642,0.367,-0.217,82.65,-0.153,0.286,1.144,0.004,-0.58,85.72,0.131,-0.504,0.032,-0.179,-0.336,-0.221,0.45,260.08,0.103,-0.1,1.534,1.427,-0.663,-0.783,1.402,1
2264,"1976-03-29",3,0.07,-0.1,0.092,0.367,-1.362,79.31,-0.153,0.123,0.954,0.225,-0.838,74.17,-0.29,0.158,0.108,-1.46,0.75,0.315,-0.252,341.55,-0.377,-1.146,-0.116,0.804,-0.369,-0.425,0.832,1
2265,"1976-03-30",3,0.309,0.577,0.665,0.367,-0.129,82.74,-0.153,-0.205,0.701,-0.365,-0.166,102.92,0.552,-0.465,0.032,0.507,-0.633,-1.069,-0.057,238.83,0.973,-0.177,1.474,1.704,-0.905,-0.99,14.724,1
2267,"1976-04-01",4,0.963,0.295,0.436,-0.409,-0.658,90.94,0.299,-1.023,0.069,-0.217,-0.218,114.95,0.131,-0.173,0.811,0.426,-0.732,-0.609,0.161,252.9,0.643,-0.295,1.036,0.088,-0.862,-0.894,0.225,1
2268,"1976-04-02",4,0.509,0.21,0.367,-0.176,-0.658,88.04,0.299,-0.532,0.449,0.078,0.195,77.13,0.131,-0.173,0.505,-0.494,-0.039,-0.4,1.327,253.43,0.553,-0.165,1.371,0.781,-0.545,-0.589,6.363,1
2269,"1976-04-03",4,0.776,0.464,0.573,-0.487,-0.085,91.28,0.752,-0.368,0.512,-0.66,0.609,123.92,0.552,-0.29,0.383,1.067,-0.908,-1.538,0.07,234.72,1.393,0.101,1.517,1.127,-1.062,-1.15,0.82,1
2270,"1976-04-04",4,0.926,0.803,0.825,-0.953,-0.041,95.49,0.752,-0.287,0.512,-0.66,0.247,122.54,0.552,-0.339,0.49,0.512,-0.751,-0.762,-0.528,248.7,0.793,-0.142,1.217,0.18,-1.089,-1.058,2.274,1
2271,"1976-04-05",4,0.463,0.605,0.688,-0.487,-0.394,91.58,0.299,0.204,1.017,-0.365,0.092,98.26,0.552,-0.309,0.108,-0.677,0.045,-0.237,-0.326,254.82,0.223,0.674,1.251,0.55,-0.896,-0.877,15.169,1
2272,"1976-04-06",4,0.37,0.605,0.665,-0.875,1.853,95.62,0.752,-0.368,0.575,-0.365,0.144,101.07,0.552,-0.865,-0.014,0.157,-0.458,-0.798,0.188,243.37,0.643,0.479,1.285,1.127,-0.888,-0.947,12.829,1
2274,"1976-04-08",4,0.139,0.239,0.367,0.134,-0.438,84.24,-0.153,-0.532,0.512,-0.291,-0.787,103.06,0.131,-0.368,-0.075,-1.038,0.319,0.284,-0.259,289.66,-0.287,-0.827,0.289,-0.536,-0.74,-0.555,0.306,1
2275,"1976-04-09",4,0.193,0.182,0.321,0.6,0.267,78.43,-0.605,-1.105,0.006,-0.365,-0.011,127.97,0.131,-0.339,0.032,-0.057,-0.397,-0.41,0.806,255.19,0.463,-0.035,0.916,0.527,-0.532,-0.549,1.046,1
2276,"1976-04-10",4,0.062,0.041,0.184,0.833,-0.129,74.07,-0.605,-1.023,0.133,-0.144,0.557,90,0.131,-0.397,-0.212,-0.001,-0.367,-0.696,0.632,245.89,0.853,0.189,0.709,0.85,-0.469,-0.513,1.956,1
2277,"1976-04-11",4,-0.131,-0.185,-0.045,1.222,0.135,65.28,-1.058,-1.023,-0.057,0.078,-0.838,175.32,0.131,-0.553,-0.35,-0.026,-0.378,-0.589,-0.098,248.8,0.853,-0.307,0.753,0.965,-0.389,-0.439,1.206,1
2278,"1976-04-12",4,-0.407,-0.382,-0.251,1.299,0.619,57.82,-1.51,-0.614,-0.499,-0.217,-1.562,160.38,0.552,-0.524,-0.548,-0.748,0.144,-0.375,-0.676,244.26,0.703,0.573,-0.296,1.127,-0.343,-0.403,0.101,1
2279,"1976-04-13",4,-0.527,0.097,0.207,1.144,0.091,70.39,-1.058,-0.45,0.512,0.078,-0.58,80.3,0.131,-0.475,-0.716,-1.582,0.753,0.013,-0.041,244.4,0.133,1.353,0.159,0.504,-0.404,-0.346,20.564,1
2280,"1976-04-14",4,-0.54,1.001,0.962,1.066,0.487,78.1,-1.058,0.614,1.397,-0.217,0.815,91.07,0.552,-0.874,-1.052,-0.011,-0.138,-1.12,0.884,226.68,1.003,0.425,1.234,0.965,-0.607,-0.633,1.49,1
2281,"1976-04-15",4,-0.193,0.436,0.527,0.212,0.267,84.35,-0.153,0.859,1.523,0.373,0.454,74.73,-0.29,-0.446,-0.64,-1.262,0.468,-0.032,-0.538,260.28,-0.197,-0.963,1.105,0.042,-0.65,-0.57,0.521,1
2282,"1976-04-16",4,-0.362,0.747,0.802,0.134,-0.658,85.87,-0.153,0.614,1.144,0.816,0.66,59.45,-0.711,-0.095,-0.426,-1.277,0.635,0.391,-0.104,154.04,-0.617,-0.254,1.182,1.173,-0.033,-0.158,4.273,1
2283,"1976-04-17",4,-0.655,0.605,0.665,0.6,-1.407,81.21,-0.605,2.086,2.345,1.111,0.402,66.61,-1.132,0.314,-0.518,-0.423,1.672,0.718,0.38,60.07,-0.947,-1.122,-0.941,-1.021,0.053,0.259,1.613,1
2284,"1976-04-18",4,0.028,0.239,0.39,0.445,-0.482,80.89,-0.153,0.45,1.27,-0.217,0.66,92.64,0.131,0.353,0.169,-1.013,0.654,-0.517,-0.746,199.76,0.733,-0.006,0.28,1.035,-0.307,-0.411,1.085,1
2285,"1976-04-19",4,0.326,-0.157,0.069,-0.487,0.047,91.86,0.299,-0.123,0.828,-0.513,-0.063,106.48,0.131,0.372,0.414,-0.957,0.399,-0.441,-0.804,230.93,0.253,-0.655,-0.064,0.55,-0.66,-0.527,0.007,1
2289,"1976-04-23",4,0.657,0.097,0.207,1.066,-1.318,71.77,-1.058,-0.532,0.449,0.152,-0.58,67.56,0.131,0.421,0.933,0.126,-0.504,-0.563,0.134,249.94,0.523,-0.017,0.529,0.827,-0.571,-0.564,0.388,1
2293,"1976-04-27",4,-0.131,-0.636,-0.343,0.134,0.267,79.36,-0.153,-0.368,0.196,0.668,-0.838,25.51,-0.711,0.226,0.139,-0.708,1.146,0.968,-1.039,23.92,-1.157,1.543,-0.494,0.55,0.216,0.202,0.151,1
2296,"1976-04-30",4,-0.636,-0.241,-0.091,1.222,0.047,64.08,-1.058,0.123,0.828,0.668,0.195,53.7,-0.711,-0.066,-0.625,-0.952,0.769,0.81,0.309,170.27,-0.587,0.615,-0.219,0.942,0.387,0.148,5.586,1
2297,"1976-11-01",11,1.042,-0.665,-0.343,-0.021,0.399,82,-0.153,0.204,-1.384,-0.217,-0.218,269.01,0.131,0.382,1.498,0.736,-1.029,0.335,0.064,276.75,0.073,0.975,-2.127,0.065,-0.131,-0.028,0.018,1
2300,"1976-11-04",11,-0.378,-1.06,-0.663,-0.331,-0.658,88.18,0.299,1.514,-2.142,-1.546,0.04,237.74,1.815,-0.173,-0.533,1.86,-1.578,-1.625,-0.299,242.55,1.812,-0.502,-0.536,0.596,-0.034,0.02,0.448,1
2301,"1976-11-05",11,-0.254,-0.89,-0.526,-0.72,0.355,103.06,0.752,2.332,-2.016,-2.801,0.764,218.37,2.657,-0.28,-0.67,2.948,-1.833,-3.054,0.262,228.96,3.282,-1.016,1.096,0.042,-0.272,-0.197,0.73,1
2302,"1976-11-06",11,0.147,-0.354,-0.091,0.134,0.267,82.14,-0.153,1.841,-1.005,-2.948,-0.063,199.06,2.657,0.1,-0.06,2.424,-0.839,-3.453,-1.197,213.82,3.192,-0.856,0.667,0.042,-0.369,-0.207,0.004,1
2304,"1976-11-08",11,0.232,-1.144,-0.87,0.523,0.928,32.56,-0.605,1.596,-2.458,-0.734,-0.27,257.14,0.552,0.217,0.475,1.911,-1.803,-1.013,-0.131,253.25,1.183,-0.23,0.684,0.042,0.061,0.103,0.684,1
