"","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","clazz"
"1899",-0.718,-1.257,-0.87,0.057,-0.305,48.53,-0.153,-0.45,0.512,0.078,-0.373,76.41,0.131,0.743,-0.457,-1.455,0.673,0.044,-0.454,142.73,-0.227,0.077,0.331,-0.582,0.701,0.867,1
"2426",-0.931,-0.749,-0.412,0.057,0.707,78.52,-0.153,-0.205,0.638,0.447,1.28,58.53,-0.29,0.558,-0.823,-1.216,0.803,0.57,0.245,177.6,-0.617,1.489,1.001,0.504,1.019,0.837,1
"4596",-1.241,-0.975,-0.663,-1.03,-1.23,116.68,0.752,-0.041,0.828,-0.291,-0.89,96.02,0.552,1.415,-0.793,-0.916,1.378,-0.334,-0.975,116.95,0.433,-0.343,-0.408,-0.12,1.599,1.383,1
"4843",-0.408,-0.862,-0.595,-1.341,0.487,123.94,1.656,-1.105,0.006,-0.291,0.144,128.35,0.131,0.733,0.017,-0.601,-0.02,-0.15,0.672,260.48,-0.047,-0.159,0.375,-0.813,0.554,0.837,1
"8091",0.087,0.86,0.825,1.144,0.399,76.98,-1.058,-0.041,0.891,0.152,0.195,77.95,-0.29,-1.089,-0.319,0.685,-0.9,-0.762,1.206,251.1,0.673,0.609,1.199,0.919,-0.867,-1.038,1
"6058",-0.229,0.097,0.252,0.756,-0.746,76.32,-0.153,-1.35,-0.183,-0.217,0.505,102.19,0.131,-0.251,-0.472,-0.636,0.022,0.253,-1.392,285.45,-0.167,0.591,-0.949,-0.838,-0.161,0.074,1
"4618",-0.019,0.154,0.275,0.989,0.619,73.11,-1.058,-0.123,0.575,0.668,-0.166,47.18,-0.711,-0.339,0.032,-0.642,0.132,0.6,0.679,296.91,-0.827,0.278,0.83,-0.12,-0.121,-0.147,1
"344",-0.211,-0.524,-0.228,-0.642,-0.746,95.93,0.752,-0.941,-0.247,-0.586,0.04,180,0.552,0.723,0.063,-0.443,-0.085,-0.456,0.749,247.63,0.583,1.111,1.311,0.203,0.412,0.464,1
"6257",-0.338,-0.665,-0.366,-0.642,0.84,97.19,0.299,-0.368,-0.815,-0.808,1.539,226.88,0.552,0.48,-0.502,-0.443,-0.119,-0.278,-0.441,256.8,-0.047,-0.768,0.838,0.409,0.122,0.185,1
"1942",-1.602,-0.806,-1.259,1.377,0.135,334.07,-1.51,0.695,-0.942,1.48,0.144,330.45,-1.553,0.256,-1.617,-0.479,0.254,1.05,0.561,324.72,-1.067,0.201,-0.141,-0.466,1.322,1.228,1
"31421",0.995,0.38,0.481,0.212,-0.394,83.72,-0.605,0.614,1.333,0.225,-0.528,77.79,-0.29,0.236,1.345,-1.079,0.521,0.264,0.39,138.57,-0.227,-0.354,0.787,0.988,-0.647,-0.66,1
"5928",-0.179,-0.89,-1.465,0.367,0.707,294.39,-0.153,-0.778,-0.12,0.447,0.402,11.28,-0.711,1.308,0.612,-0.53,1.363,0.994,-0.404,35.77,-1.067,0.101,-0.855,-0.63,1.098,1.239,1
"3884",0.671,0.097,0.207,1.066,-0.394,71.28,-1.058,-0.368,0.512,0.373,-1.097,58.28,-0.29,-0.387,0.719,0.462,-0.748,-0.671,-0.178,251.36,0.673,-0.892,0.289,0.781,-0.734,-0.841,1
"5593",-0.689,-0.749,-1.602,-1.186,0.752,246.4,0.752,0.286,-1.384,0.373,-0.218,291.92,-0.711,1.093,-0.197,-0.438,0.152,0.953,-0.357,316.16,-0.947,-0.502,-0.477,-0.166,1.164,1.115,1
"3968",-1.709,-1.427,-1.007,-0.254,1.06,90,-0.153,-0.041,0.701,0.594,1.384,54.84,-0.711,0.226,-1.8,-0.692,1.428,0.657,1.173,56.03,-0.947,0.816,0.546,0.203,1.389,1.19,1
"25431",2.218,2.638,2.336,-0.021,0.399,88.65,0.299,0.123,0.828,-0.808,0.092,119.68,0.973,-1.498,1.467,0.431,-0.675,-0.778,-1.701,246.79,0.763,-1.471,0.134,-2.152,-1.902,-2.013,1
"4374",-0.949,-1.201,-0.847,0.212,-0.217,47.02,-0.153,-1.105,-0.183,-0.439,0.815,183.38,0.131,1.161,-0.625,-1.109,0.647,-0.451,0.117,206.12,0.193,1.283,0.392,0.573,1.244,1.109,1
"6006",1.053,1.142,1.123,0.523,0.663,83.32,-0.605,0.123,0.891,-0.734,0.609,113.96,0.552,-0.904,0.612,-0.133,-0.138,-0.824,-0.881,232.84,1.003,0.331,1.293,0.294,-1.111,-1.145,1
"20021",0.484,1.339,1.283,0.134,-1.01,86.76,-0.153,-0.041,0.828,-0.66,-0.425,113.21,0.552,-0.621,0.215,0.05,-0.287,-0.941,-0.309,234.83,0.913,2.039,0.898,0.457,-0.962,-1.06,1
"4622",-1.571,-0.834,-1.167,1.454,0.928,346.82,-1.51,1.023,0.069,1.997,0.557,190.91,-2.396,0.109,-1.724,-0.001,0.757,1.775,0.88,179.81,-1.877,0.361,0.632,0.804,1.131,0.851,1
"849",-1.313,-0.862,-1.305,-1.807,0.311,209.86,1.656,-0.696,-0.12,-0.586,-0.631,138.2,0.131,0.665,-1.098,-1.201,0.906,-0.124,-0.417,156.2,0.013,-0.1,0.151,-0.582,1.236,1.162,1
"1309",1.326,1.085,1.077,-0.331,0.179,90.03,0.299,-1.187,-0.12,-0.365,-0.58,119.43,0.552,-1.995,0.628,1.062,-1.281,-0.012,0.292,269.07,0.013,-1.24,0.916,-0.374,-1.413,-1.574,1
"5075",0.151,-0.495,-0.228,0.134,-1.715,80.7,-0.153,-0.614,-0.373,0.447,-0.115,331.42,-0.711,0.821,0.612,-0.413,-0.039,0.703,0,297.57,-0.587,1.052,1.045,0.758,0.393,0.278,1
"767",-0.365,-0.072,0.115,0.367,-0.658,79.39,-0.605,-0.45,-0.31,0.742,1.487,184.08,-0.711,0.246,-0.182,0.04,-0.321,0.942,1.337,299.28,-0.737,2.322,0.056,0.365,0.615,0.531,1
"3193",-0.448,-1.173,-1.282,-0.098,-0.305,280.87,-0.153,0.041,0.133,1.111,-0.735,17.16,-1.553,1.385,0.322,-0.453,1.077,1.284,-0.078,15.82,-1.457,-0.62,-0.855,-0.905,1.223,1.264,1
"47351",-0.351,1.17,1.146,-0.176,0.663,89.04,0.299,1.186,1.839,-0.513,-0.166,98.46,0.552,-1.381,-0.808,-1.104,0.494,-0.339,-0.857,222.43,0.703,-0.584,0.228,1.219,-0.675,-0.836,1
"22641",0.07,-0.1,0.092,0.367,-1.362,79.31,-0.153,0.123,0.954,0.225,-0.838,74.17,-0.29,0.158,0.108,-1.46,0.75,0.315,-0.252,341.55,-0.377,-1.146,-0.116,0.804,-0.369,-0.425,1
"2765",-0.623,-0.326,-0.068,-0.72,-0.217,97.01,0.299,-0.123,0.765,0.299,-0.425,69.27,-0.29,0.265,-0.533,-1.394,0.727,0.197,0.285,146.62,-0.077,0.118,0.795,1.312,0.421,0.236,1
"47461",2.296,1.029,1.008,-1.03,1.5,96.06,1.204,-1.187,-0.247,-0.144,-0.942,227.81,0.131,-1.517,2.109,0.645,-0.904,0.697,0.054,285.82,-0.557,0.42,0.451,-0.582,-1.439,-1.452,1
"2441",-1.263,-0.693,-0.366,-0.642,0.091,98.29,0.752,0.614,1.397,-0.144,0.505,89.03,-0.29,0.382,-1.266,-1.099,1.199,0.442,0.232,49.98,-0.317,2.422,0.924,1.219,1.334,1.049,1
"47221",1.42,1.001,1.008,-0.331,-0.217,89.98,0.299,-0.287,0.449,-0.808,-0.631,132.55,0.973,-1.654,0.689,1.046,-1.144,-0.895,-0.988,249.49,1.003,0.869,1.208,-0.328,-1.47,-1.724,1
"869",-0.152,-1.144,-1.328,-0.254,-0.482,272.05,0.299,-0.941,-0.563,-0.217,-0.528,262.29,0.131,1.561,0.49,-1.119,0.635,0.606,-0.128,338.79,-0.437,-1.146,0.306,-0.097,0.773,0.886,1
"4551",1.746,1.678,1.512,1.066,-0.085,80.94,-1.058,-0.287,0.701,-0.144,-0.838,85.99,0.131,-1.206,1.07,1.092,-1.247,-0.604,-0.83,256.21,0.763,-0.981,1.199,0.342,-1.527,-1.678,1
"1038",0.002,-1.201,-0.938,0.445,-0.526,20.59,-0.153,-0.532,-0.057,0.594,-1.355,187.66,-0.711,1.288,0.902,-1.069,0.727,0.703,-0.558,175.52,-0.617,-0.437,-1.035,-0.882,0.935,1.198,1
"3989",1.162,3.089,2.634,1.92,2.469,79.87,-1.51,0.123,-0.373,-1.546,-0.321,191.32,1.394,-2.871,-0.044,2.495,-1.772,-2.396,-1.603,234.86,2.292,0.231,0.753,0.249,-1.682,-1.889,1
"2586",0.281,-0.298,-0.068,0.212,0.091,80.14,-0.153,-1.187,-0.373,-0.144,0.764,267.61,0.131,0.528,0.46,0.106,-0.557,0.253,0.107,276.39,-0.077,1.087,1.148,-0.72,-0.004,0.164,1
"4428",-0.854,-0.552,-0.251,-0.409,-1.142,91.6,0.299,-0.45,-0.752,-0.734,0.04,227.82,0.973,0.382,-1.083,-0.138,-0.275,-0.625,-0.689,246.08,0.853,1.442,0.1,-1.252,0.355,0.64,1
"474",-2.754,-1.032,-0.732,-0.72,3.526,111.26,0.299,1.105,1.144,-1.546,4.071,129.66,0.973,-0.894,-3.648,1.672,2.605,-2.222,2.635,133.81,1.663,1.123,1.036,0.203,1.445,1.129,1
"6157",-0.492,-1.286,-0.87,-0.564,-0.702,113.81,0.752,0.286,1.144,0.078,-0.425,82.78,0.131,1.434,0.231,-0.504,1.713,0.406,-0.562,73.46,-0.227,0.874,-0.598,-0.446,1.387,1.399,1
"56611",1.194,1.48,1.397,-1.03,-0.438,95.06,1.204,-0.205,0.701,-0.513,-0.011,106.87,0.552,-1.206,0.536,0.553,-0.862,-0.451,-0.763,257.47,0.433,-1.441,0.649,-1.644,-1.529,-1.369,1
"16211",1.12,0.126,0.252,0.756,0.707,75.84,-0.605,-1.105,-0.436,-0.07,0.35,277.71,0.131,-1.284,0.826,0.589,-0.892,0.509,0.07,281.79,-0.497,0.165,-1.104,-2.106,-1.15,-0.714,1
"2879",-0.444,-1.003,-1.419,-0.797,0.707,251.27,0.752,-1.187,-0.247,-0.217,0.04,196.2,0.131,0.801,-0.014,-0.997,0.27,-0.068,0.41,262.65,0.103,1.873,0.572,-0.767,0.594,0.949,1
"3740",0.322,-0.298,-0.068,-1.186,0.531,105.4,1.204,-0.859,-0.626,-0.07,-0.115,286.66,0.131,-0.767,0.093,-0.133,-0.306,0.636,0.131,291.4,-0.497,0.674,-0.468,-2.06,-0.747,-0.303,1
"3886",0.628,0.775,0.825,0.367,-0.438,83.39,-0.605,-0.123,0.828,-0.291,0.402,97.09,0.131,-0.563,0.322,0.98,-0.808,-1.589,-0.531,232.66,1.483,-0.827,0.675,0.573,-0.976,-1.088,1
"12541",-0.586,0.351,0.23,2.386,-0.834,57.8,-2.415,-0.041,-1.258,-0.291,0.35,264.16,0.131,-0.972,-1.052,0.706,-0.995,-0.303,-0.464,261.29,0.283,2.458,0.022,0.965,-0.208,-0.353,1
"36191",1.606,2.44,2.153,-1.341,1.06,95.16,1.656,-0.696,0.006,-0.734,0.247,157.16,0.973,-2.55,0.551,1.224,-1.193,-1.196,-0.968,244.92,1.243,-1.093,0.641,-0.998,-1.626,-1.896,1
"109",-2.691,-1.144,-1.19,-1.108,3.57,215.49,0.752,-0.041,0.196,-1.251,2.986,158.09,0.973,-1.079,-3.663,0.477,1.599,-1.921,1.637,152.07,1.363,0.981,0.28,-0.536,0.998,1.019,1
"4395",-0.413,-0.608,-0.572,1.532,-0.79,40.3,-1.962,0.368,-0.942,1.259,-1.148,327.94,-1.553,0.782,0.108,0.579,-0.717,1.126,0.336,298.03,-1.067,1.217,-0.193,1.196,0.834,0.734,1
"133",-0.516,-0.919,-1.19,1.144,-0.878,339.2,-1.058,0.614,-0.247,1.701,-0.993,180,-1.553,0.957,0.001,-0.382,0.833,1.412,-0.118,180.9,-1.457,0.437,0.409,-0.051,0.998,1.044,1
"39031",-0.493,-0.213,0.023,0.057,0.267,83.48,-0.153,0.123,0.765,0.668,-0.011,52.79,-0.711,-0.631,-0.579,-1.008,0.414,0.269,0.658,284.76,-0.347,0.68,0.572,1.243,0.038,-0.162,1
"62231",0.289,0.493,0.504,1.61,-0.173,69.42,-1.51,-0.778,0.259,0.078,-0.27,68.34,-0.29,-0.582,-0.014,0.568,-0.656,-1.156,-0.488,238,1.153,0.857,0.227,-0.029,-0.748,-0.619,1
"219",-1.125,-0.467,-0.183,0.134,-0.35,80.34,-0.153,0.532,1.27,0.447,0.402,69.55,-0.29,0.314,-1.083,-0.997,1.26,0.483,1.146,57.76,-0.647,0.739,0.675,1.266,0.991,0.739,1
"32311",1.366,0.351,0.459,0.445,-1.759,80.94,-0.605,-0.205,-1.068,-0.439,0.092,255.41,0.552,0.782,1.345,0.899,-1.102,-0.599,0.255,256.06,0.793,-1.66,1.225,-0.166,-0.792,-0.746,1
"22891",0.657,0.097,0.207,1.066,-1.318,71.77,-1.058,-0.532,0.449,0.152,-0.58,67.56,0.131,0.421,0.933,0.126,-0.504,-0.563,0.134,249.94,0.523,-0.017,0.529,0.827,-0.571,-0.564,1
"7601",0.599,1.763,1.604,0.678,-0.966,83.84,-1.058,-0.859,0.196,-0.365,1.332,117.1,0.552,-1.605,-0.09,2.073,-1.845,-1.329,1.892,249.37,1.153,-0.502,1.087,1.266,-1.29,-1.572,1
