"","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","clazz"
"5651",-1.289,0.351,-0.068,-4.291,-0.085,141.03,3.918,4.296,1.523,-4.941,0.66,158.99,4.341,0.002,-1.785,3.161,1.63,-4.622,-1.432,170.89,3.912,-1.252,1.414,-0.143,0.686,0.811,1
"42621",-0.012,0.888,0.894,-1.186,-0.834,97.81,1.204,-0.287,0.701,-0.365,1.074,102.86,0.131,-0.037,-0.212,-0.418,0.064,-0.829,0.554,229.29,0.853,-0.679,0.555,1.035,-0.39,-0.459,1
"3299",-1.735,0.097,-1.579,-4.291,0.972,204.23,4.37,6.833,-4.291,-5.753,2.831,220.08,5.184,-0.183,-2.35,4.834,-2.245,-5.106,0.921,218.25,5.142,-0.343,1.337,0.758,0.834,0.595,1
"59731",1.279,2.581,2.268,0.833,-0.57,83.99,-0.605,0.532,1.333,0.004,0.092,85.05,0.131,-0.621,1.177,0.304,-0.641,-0.528,1.761,255.93,0.523,-1.045,1.113,0.34,-0.957,-1.012,1
"2465",-0.431,-0.947,-1.282,0.989,-0.129,326.6,-1.058,-0.041,-0.183,1.111,-0.425,180.85,-1.132,1.473,0.337,-0.784,0.948,0.973,-0.531,190.81,-1.097,-0.721,-0.382,-0.697,1.386,1.342,1
"27771",1.146,2.101,1.901,-0.875,-0.217,93.08,1.204,-0.123,0.449,-1.103,-0.166,143.71,1.394,-1.615,0.307,0.701,-0.923,-0.63,-1.741,252.77,0.493,-0.721,-0.76,-2.245,-1.718,-1.494,1
"2554",0.57,1.368,1.237,1.454,0.355,76.69,-1.058,-0.205,0.449,-0.882,0.402,136.97,0.973,-1.556,-0.09,2.104,-1.544,-2.146,0.642,234.43,1.872,0.532,1.578,1.497,-1.191,-1.473,1
"8111",0.403,1.283,1.168,1.687,0.972,74.77,-1.51,0.286,1.144,-0.07,0.299,87.26,0.131,-1.585,-0.396,0.268,-0.633,-0.492,-0.763,254.59,0.523,2.299,1.036,0.504,-1.247,-1.347,1
"1313",-0.434,-0.919,-0.641,0.523,-1.098,57.69,-0.605,0.204,0.638,1.037,-0.735,39.25,-1.132,1.171,0.2,-0.647,1.226,1.004,-0.427,30.28,-1.187,-0.384,-1.198,0.019,0.875,0.762,1
"1772",-1.095,-0.947,-1.282,0.911,1.853,325.53,-1.058,0.45,-0.31,1.48,2.727,352.72,-1.553,0.762,-0.777,-0.321,0.605,1.397,3.512,334.39,-1.307,1.649,0.675,0.734,1.268,1.14,1
"58091",0.715,1.226,1.191,0.134,-0.614,86.58,-0.153,-0.696,0.385,-0.144,-0.425,84.72,0.131,-0.962,0.292,0.792,-1.079,-0.073,0.672,267.76,0.133,1.843,0.984,0.525,-0.866,-0.994,1
"59081",-0.169,0.69,0.733,0.756,-0.305,79.62,-0.605,-0.041,0.828,-0.217,0.609,96.84,0.131,0.002,-0.014,-0.647,0.209,-0.696,1.132,223.76,0.823,-0.035,0.863,0.94,0.213,0.126,1
"1058",-0.209,-1.06,-1.305,0.445,-0.217,312.01,-0.153,-0.45,-0.563,0.594,-0.218,331.28,-0.29,1.308,0.521,-1.231,0.532,0.391,-0.336,312.59,-0.227,0.514,-0.227,0.019,0.982,1.075,1
"4835",-0.625,-0.947,-0.595,0.134,0.091,72.1,-0.153,-0.532,0.322,0.447,-0.425,44.42,-0.29,0.626,-0.105,-1.216,0.997,0.478,-0.128,29.09,-0.707,1.903,-0.167,0.642,1.082,0.926,1
"4786",-0.357,0.267,0.367,0.833,0.223,75.78,-1.058,1.596,1.839,1.259,-0.476,59.22,-1.132,-0.845,-0.38,-0.987,1.161,0.636,-0.168,39.77,-0.737,0.455,0.254,0.157,0.006,0.044,1
"4712",-0.264,-1.229,-1.144,-0.953,-0.173,212.03,1.204,-0.614,-0.815,-0.365,-0.528,253.25,0.552,1.473,0.612,-1.44,0.712,0.177,-0.763,188.94,-0.107,0.396,-0.416,-1.136,1.043,1.319,1
"2354",-0.293,-0.919,-0.549,-0.409,-0.966,92.42,0.299,-1.023,-0.373,0.152,0.919,161.57,-0.29,0.626,0.001,-0.611,0.075,0.59,0.769,298.19,-0.467,1.631,1.225,0.734,0.825,0.706,1
"4212",0.769,1.255,1.191,-0.875,-0.085,94.29,0.752,-0.696,0.322,-0.439,-0.787,119.67,0.552,-0.728,0.597,0.95,-0.98,-1.181,0.517,243.18,1.003,-1.134,1.217,0.965,-0.79,-0.925,1
"34551",1.531,1.509,1.397,0.367,-0.658,85.24,-0.153,-0.614,0.385,-0.513,-0.166,117.5,0.552,-0.28,1.574,0.091,-0.408,-0.676,0.998,251.42,0.613,-1.063,0.451,-0.744,-1.115,-0.98,1
"568",-0.578,-1.229,-1.099,-1.03,1.941,197.56,1.204,-0.041,-1.258,-0.144,1.022,270.1,0.131,-0.485,-0.609,-0.164,-0.355,0.121,1.106,273.05,-0.137,-0.809,0.271,-0.005,0.282,0.42,1
"2718",-0.42,-1.116,-1.328,-0.72,-0.085,250.16,0.752,0.614,-1.637,-0.734,0.505,251.84,0.973,0.996,-0.09,0.746,-0.915,-0.875,0.568,248.97,0.943,-0.029,0.959,0.619,0.9,0.82,1
"62111",-0.734,0.154,0.275,0.989,0.928,73.08,-1.058,1.677,1.776,1.406,-0.683,56.25,-1.553,-0.806,-0.793,0.157,1.592,1.642,0.064,32.95,-1.577,0.992,-0.812,-0.076,0.153,0.255,1
"4017",0.1,-1.201,-1.259,-0.254,-1.318,260.25,0.752,2.496,-2.774,-1.989,-0.373,238.38,2.657,0.762,-0.06,2.505,-1.913,-2.151,-1.728,239.09,2.802,-0.313,-0.356,-0.605,-0.021,0.227,1
"3278",0.971,1.565,1.443,-0.098,2.381,88.68,0.299,0.041,-0.436,-1.398,0.04,192.1,1.394,-2.862,-0.136,1.499,-1.205,-1.727,-1.301,236.53,1.603,-1.252,-2.11,0.388,-1.545,-1.821,1
"1526",0.814,-0.213,0.001,0.367,-0.305,79.04,-0.605,-0.696,0.006,0.447,-1.045,19.26,-0.711,-0.572,0.826,-0.703,0.772,1.075,-0.588,178.02,-1.127,-0.874,-1.31,-1.136,-0.841,-0.633,1
"613",-0.949,-0.411,-1.236,2.619,-1.407,346.63,-2.415,2.414,0.765,3.104,-0.787,18.49,-3.238,1.21,-0.579,0.548,1.466,2.183,-0.595,21.83,-2.297,-1.181,-0.648,-0.559,1.263,1.289,1
"59371",1.106,0.295,0.436,-0.021,-1.803,86.68,-0.153,-0.45,0.512,0.152,-0.683,69.89,-0.29,1.191,1.681,-0.443,-0.134,0.085,0.679,273.23,-0.047,-0.945,1.069,0.594,-0.186,-0.102,1
"6162",-0.928,-0.467,-1.74,1.222,-1.539,303.56,-1.51,2.987,-2.838,2.292,-1.2,308.03,-2.396,0.84,-0.579,1.021,-0.687,1.923,-0.636,312.9,-2.297,0.821,-0.838,-0.538,1.275,1.289,1
"28111",-0.173,0.944,0.871,1.687,0.135,72.6,-1.51,0.286,1.017,0.447,0.092,67.02,-0.29,-0.621,-0.441,0.94,-1.132,-0.604,0.8,256.34,0.553,0.709,1.062,1.958,-0.432,-0.722,1
"3085",0.084,-0.862,-1.213,1.377,-0.834,340.36,-1.058,-0.123,-0.057,1.037,-1.51,9.36,-0.711,1.736,1.147,-1.277,0.894,0.503,-0.064,28.95,-0.587,0.142,-0.356,0.319,0.99,1.015,1
"2267",-2.616,-0.975,-1.419,-0.176,1.368,275.99,-0.153,0.941,-1.763,0.816,2.779,295.01,-1.132,-0.699,-3.403,0.279,-0.534,0.718,2.295,286.86,-0.797,1.035,0.641,1.52,1.254,0.789,1
"30011",-0.065,-0.128,-0.022,1.299,1.06,64.03,-1.058,-0.696,-0.563,0.373,0.247,317.53,-0.29,-0.407,-0.075,0.085,-0.504,-0.262,1.559,261.75,0.013,1.259,1.397,1.15,-0.054,-0.187,1
"3016",-0.092,-1.06,-0.663,0.057,-0.261,73.16,-0.153,-0.941,-0.31,0.225,0.04,336.89,-0.29,1.045,0.582,-1.297,0.715,0.442,-0.494,202.41,-0.317,-0.289,-0.984,-1.436,0.486,1.003,1
"623",-2.032,-0.693,-1.671,-0.564,1.72,263.78,0.299,0.123,-1.258,0.225,3.244,280.64,-0.29,0.168,-2.319,0.019,-0.336,0.024,2.675,266.04,-0.227,-0.366,0.555,0.596,1.429,1.164,1
"30481",0.403,0.662,0.596,2.076,-0.438,66.35,-1.962,-0.368,0.575,0.225,0.66,68.91,-0.29,0.295,0.658,-0.743,0.216,0.274,1.079,284.11,-0.437,1.347,0.993,0.065,-0.141,-0.114,1
"24401",2.076,1.876,1.649,1.377,-0.966,79.15,-1.51,-0.45,0.196,-0.882,-0.373,149.79,0.973,-0.056,1.834,1.321,-1.239,-1.298,-1.852,243.85,1.093,-0.313,-0.047,-0.212,-1.674,-1.671,1
"2764",-0.311,-0.862,-0.503,-0.254,-0.261,87.41,-0.153,-0.368,0.512,0.299,-0.787,60.32,-0.711,0.431,0.047,-1.44,0.731,0.33,0.054,333.18,-0.707,0.095,0.245,1.012,0.408,0.342,1
"5081",-0.694,-0.834,-1.373,1.066,0.047,320.55,-1.51,1.186,-1.131,1.997,1.074,332.52,-1.975,0.791,-0.258,0.294,0.315,1.979,1.102,340,-1.817,0.526,-0.485,0.111,1.087,1.064,1
"4124",-0.74,-1.116,-0.755,0.212,-1.054,60.57,-0.153,-0.287,0.575,0.373,-0.735,61.56,-0.29,1.551,0.108,-0.743,1.473,0.534,0.104,61.03,-0.497,-1.654,-1.99,-0.882,1.458,1.331,1
"5845",0.071,0.408,0.504,-1.418,-0.173,101.56,1.204,-0.532,0.385,-0.66,1.022,127.07,0.552,0.567,0.337,-0.997,0.327,-0.247,0.494,245.79,0.013,0.591,0.88,-0.884,0.113,0.408,1
"4157",-0.32,-1.37,-0.938,-0.487,0.135,124.64,0.299,-0.45,-0.752,0.373,0.867,306.82,-0.29,1.424,0.398,-0.723,0.186,0.478,0.988,294.52,-0.437,0.686,-0.098,0.249,1.128,1.108,1
"4931",-0.424,0.408,0.481,0.911,0.135,76.51,-1.058,-0.041,-0.689,-1.251,0.195,209.35,1.394,-0.553,-0.731,0.884,-0.58,-1.783,-0.649,225.58,1.782,0.396,-0.485,-0.628,-0.211,0.087,1
"5335",-1.238,-0.439,-0.16,-0.564,-0.438,94.74,0.752,0.368,1.207,-0.513,-0.27,102.37,0.973,0.236,-1.541,-0.423,-0.005,-0.681,-0.148,235.99,0.973,0.739,1.096,1.173,-0.045,-0.067,1
"833",-0.71,-1.229,-1.121,0.29,-0.482,332.22,-0.153,-0.532,-0.373,0.447,-1.097,152.74,-0.29,1.006,-0.121,-1.241,0.734,0.447,-0.588,178.15,-0.617,-0.313,-0.399,-0.12,1.203,1.233,1
"59321",1.632,2.186,1.947,-1.186,0.443,94.86,1.204,-0.45,0.259,-0.808,0.195,146.77,0.973,-1.683,0.933,1.189,-1.14,-1.293,-0.498,242.66,1.183,0.65,0.665,0.016,-1.152,-1.33,1
"42921",0.857,-0.213,0.023,-0.487,-0.085,91.97,0.752,-0.123,-1.131,-0.513,-0.838,252.92,0.552,0.821,1.345,0.365,-0.763,0.024,-0.125,269.51,0.283,-1.193,0.383,-0.951,-0.103,0.239,1
"6417",-0.469,-0.862,-0.892,1.377,-1.362,14.26,-1.962,0.777,-1.321,1.259,0.195,317.5,-1.553,0.431,-0.334,1.382,-1.456,0.381,1.485,277.93,-0.737,1.849,1.155,1.102,0.877,0.75,1
"6370",-3.143,0.013,-0.068,-2.195,6.257,115.9,2.109,5.36,4.051,-3.096,7.947,119.34,3.078,-1.693,-4.9,7.081,6.148,-4.382,3.465,123.08,3.942,2.286,1.808,1.703,1.141,0.805,1
"257",0.699,2.892,2.405,-3.825,-1.01,107.06,4.37,1.759,1.649,-2.063,-1.407,131.5,1.815,-2.706,-0.38,-0.687,0.483,-0.793,-2.306,215.9,1.033,-1.506,-1.766,-2.937,-1.851,-1.731,1
"2125",-3.2,-0.919,-0.87,0.445,5.64,62.28,-0.605,0.695,0.259,0.668,7.43,75.27,-0.711,-1.167,-4.167,0.324,1.016,-0.487,7.35,89.98,-0.107,1.513,0.753,1.335,1.497,1.07,1
"3981",0.24,1.311,1.237,0.212,1.324,86.15,-0.153,-0.45,0.385,-0.734,0.66,133.26,0.552,-1.4,-0.243,0.614,-0.748,-1.028,0.326,242.39,0.853,-0.36,0.692,0.365,-1.008,-1,1
"5675",-0.116,-0.778,-0.732,-2.04,-0.482,149.7,2.109,1.186,-1.89,-1.325,1.074,239.47,1.394,0.801,0.185,0.528,-0.736,-0.875,0.601,246.23,1.003,-1.193,0.503,0.781,0.59,0.517,1
"1481",-1.111,-0.411,-0.274,1.222,0.179,59.27,-1.058,1.268,1.333,1.554,-0.528,46.93,-1.553,-0.378,-1.037,-0.525,1.207,1.147,1.126,26.63,-1.367,1.631,-0.519,-0.443,0.569,0.576,1
"26510",-0.214,0.351,0.481,-0.72,-0.79,94.51,0.752,0.695,1.46,0.004,-0.735,86.51,0.131,-0.319,-0.35,-0.753,0.091,0.248,0.087,281.47,-0.257,-0.933,0.632,2.005,-0.466,-0.735,1
"4768",0.275,-0.157,0.069,-0.254,0.267,88.76,-0.153,-0.368,0.322,0.668,-0.528,34.47,-0.711,-0.339,0.475,-1.008,0.532,0.672,-0.135,323.83,-0.737,-1.116,0.228,1.243,-0.215,-0.294,1
"5398",-0.816,-1.116,-0.847,0.523,-0.394,33.69,-0.605,0.368,0.385,1.332,-0.683,23.19,-1.132,1.045,-0.136,-0.215,1.268,1.422,0.366,25,-1.427,0.03,-0.639,0.249,1.465,1.365,1
"2994",0.026,-1.314,-1.03,0.134,-1.362,172.99,-0.153,-0.287,0.385,0.668,-1.303,37.96,-0.711,1.892,1.177,-0.906,1.131,0.769,-0.293,30.23,-0.797,-1.317,-0.528,0.226,1.31,1.206,1
"2118",-1.756,-0.778,-1.396,0.911,-0.878,310.3,-1.058,1.432,-0.183,2.292,-0.683,174.16,-1.975,0.353,-1.861,0.319,0.609,2.065,0.346,170.76,-1.937,1.082,0.77,-0.005,1.292,1.222,1
"59891",1.623,1.989,1.787,-0.176,-0.129,89.04,0.299,0.286,0.954,-0.882,0.299,119.23,0.973,-1.673,0.765,0.965,-1.045,-1.007,-0.693,246.4,1.183,1.885,1.422,0.894,-1.372,-1.593,1
"18810",0.086,1.706,1.581,0.29,1.5,86.07,-0.153,-0.532,0.449,-0.513,-0.011,114.25,0.552,-3.066,-0.93,0.213,-0.622,-0.323,-0.074,259.2,0.433,-0.272,1.01,0.988,-1.151,-1.386,1
"6571",-0.339,-0.157,0.069,-0.564,-0.57,93.06,0.752,-1.105,-0.12,-0.439,0.402,137.82,0.552,-0.456,-0.334,0.319,-0.648,0.09,2.477,272.79,-0.017,1.962,1.087,1.173,0.111,-0.131,1
"37371",-0.325,0.041,0.23,-0.021,0.399,86.19,0.299,-0.123,0.828,-0.291,1.797,97.71,0.131,-0.066,-0.441,-0.398,-0.043,-0.62,1.697,245.73,0.553,1.336,1.165,1.104,-0.137,-0.337,1
"14891",0.201,1.678,1.535,0.833,0.047,82.58,-0.605,-0.041,0.638,-0.956,1.022,129.96,0.973,-2.745,-1.037,1.041,-0.751,-1.788,-0.02,227.73,2.052,0.538,1.509,0.55,-1.297,-1.544,1
"1112",-1.557,0.097,0.275,-0.409,0.972,91.23,0.752,2.168,2.534,-0.66,0.144,99,0.973,-0.592,-2.014,-0.779,1.264,-0.665,0.611,144.63,0.733,1.413,0.95,0.711,0.136,0.023,1
"5789",-1.509,-0.749,-1.259,-2.273,-1.759,199.75,2.109,1.596,-0.815,-2.727,-1.355,195.25,2.657,0.528,-1.495,0.253,0.361,-1.865,-1.24,196.4,1.962,0.006,0.038,0.154,1.372,1.23,1
"35221",0.814,0.718,0.756,0.678,0.223,80.51,-0.605,0.286,0.828,0.89,-0.011,48.9,-1.132,-0.611,0.811,-0.357,0.178,1.121,0.168,319.89,-1.397,0.916,1.251,-0.028,-0.436,-0.411,1
"61171",1.191,0.097,0.23,0.911,-1.407,74.07,-1.058,-0.778,-0.626,-0.365,0.04,249.04,0.552,0.713,1.452,1.438,-1.357,-1.263,-0.397,245.73,1.063,1.53,1.018,1.241,-0.584,-0.461,1
"1113",-0.437,-0.693,-0.389,-0.642,0.003,98.36,0.752,-0.287,0.449,-0.586,-0.58,107.25,0.552,-0.027,-0.838,-0.713,0.212,-0.278,-1.624,245.66,0.283,-1.713,-2.075,-1.159,-0.661,-0.219,1
"45771",0.806,0.605,0.642,0.989,0.487,76.69,-1.058,-0.696,-0.31,0.447,-0.063,347.05,-0.29,-0.962,0.582,1.112,-1.288,0.386,1.401,277.3,0.043,1.684,1.182,0.527,-0.703,-0.814,1
"6353",-1.435,-0.27,-1.854,-2.117,0.135,238.5,2.109,1.677,-1.953,-1.989,-1.355,233.26,1.815,0.178,-1.434,0.38,-0.195,-1.605,-0.501,219.3,1.483,0.154,-0.305,-0.214,1.235,1.161,1
"4386",0.888,0.803,0.802,0.911,0.796,78.62,-1.058,-0.532,-0.815,-0.586,-0.735,236.32,0.552,-1.05,0.689,0.533,-0.854,-0.405,0.467,258.87,0.823,-0.461,-0.184,-1.321,-1,-0.744,1
"5417",-0.107,-1.257,-1.19,-0.176,-0.702,264.93,-0.153,-0.287,0.322,0.668,-0.735,38.09,-0.711,1.648,0.902,-0.819,1.252,0.749,-0.525,37.54,-0.857,-1.17,-1.164,-1.182,1.159,1.317,1
"5977",2.028,2.892,2.542,-1.03,0.972,93.29,1.204,0.041,0.512,-1.177,-0.27,140.22,1.394,-1.556,1.055,1.814,-1.563,-1.446,-1.684,243.94,1.453,-1.305,1.448,0.248,-1.67,-2.12,1
"4369",0.548,0.916,0.917,0.678,-0.746,81.28,-0.605,-0.778,0.322,-0.365,-0.476,115.13,0.552,-0.514,0.032,1.295,-1.231,-1.237,-1.042,244.48,1.093,-0.638,1.431,0.873,-1.023,-1.142,1
"22361",0.857,1.847,1.649,1.222,-0.041,80.12,-1.058,0.204,0.638,-1.251,0.66,139.33,1.394,-2.014,-0.426,1.336,-1.026,-1.763,-0.783,232.74,1.722,-0.933,1.156,-0.443,-1.645,-1.918,1
"2337",-1.867,-0.241,-1.305,-3.67,0.091,195.12,3.013,2.987,-0.626,-4.129,-0.011,187.08,3.499,-0.183,-2.319,1.595,0.224,-3.192,-1.224,196.08,2.742,0.036,-0.03,-0.443,0.891,0.939,1
"5869",-0.121,-0.495,-0.274,0.833,0.311,65.88,-0.605,0.041,0.449,0.963,0.092,34.53,-0.711,0.684,0.536,-0.84,0.483,0.754,1.035,324.69,-0.737,1.335,-0.529,0.733,0.769,0.666,1
"6210",-0.583,-0.749,-1.03,1.687,-0.658,182.01,-1.962,0.614,-1.258,1.259,-0.683,319.56,-1.553,0.528,-0.212,-0.245,-0.085,0.907,-0.474,307.93,-1.217,0.839,-1.156,-1.162,0.954,1.082,1
"1719",-0.941,-1.06,-0.847,0.678,-0.394,40.56,-0.605,0.695,0.006,1.701,-0.27,185.53,-1.553,0.265,-0.716,-0.647,0.609,1.065,-0.121,165.78,-1.367,2.115,-0.743,0.042,1.138,1.142,1
"4624",-1.04,-0.919,-1.259,1.066,1.588,329.79,-1.058,0.859,-1.005,1.628,1.591,330.06,-1.553,0.548,-0.808,0.045,0.041,1.448,2.087,319.67,-1.187,1.891,0.495,1.104,1.107,0.853,1
"59761",0.756,2.835,2.451,1.144,1.148,82.77,-1.058,0.45,1.144,-0.734,0.764,111.98,0.973,-1.517,0.017,1.631,-1.174,-1.967,-0.209,231.69,1.782,-0.874,1.43,1.287,-1.177,-1.473,1
"511",-1.02,-0.467,-1.831,-1.03,-0.746,254.46,1.204,1.677,-2.206,-1.62,0.04,236.94,1.815,0.606,-1.067,1.494,-0.991,-2.115,0.161,228.11,2.472,-1.14,1.001,0.273,0.985,0.836,1
"3043",-0.931,-0.89,-0.526,-0.487,-0.526,95.59,0.299,-0.696,0.322,-0.365,0.195,110.77,0.552,0.85,-0.64,-1.516,0.658,-0.043,-0.121,247.11,0.193,1.058,1.087,-0.559,0.957,1.192,1
"5934",-0.473,-0.975,-1.442,0.057,0.179,284.8,-0.153,-0.123,-1.068,0.521,0.247,303.52,-0.711,1.259,0.185,-0.906,0.426,0.672,0.154,325.81,-0.647,0.508,-0.382,-1.208,1.104,1.312,1
"3546",-0.028,0.747,0.802,0.057,-0.79,86.24,-0.153,1.268,1.902,0.152,-1.82,82.63,0.131,-0.037,0.124,-0.753,1.492,0.488,-0.528,64.14,-0.197,0.461,0.392,0.758,-0.086,-0.122,1
"13071",1.634,2.13,1.924,-0.098,0.003,88.84,0.299,-0.696,0.259,-0.586,-0.631,126.56,0.552,-2.063,0.78,0.97,-1.14,-0.681,0.09,254.62,0.643,-0.744,0.735,-0.259,-1.654,-1.886,1
"4431",0.124,-0.072,0.115,0.134,0.047,82.88,-0.153,-0.45,0.322,0.447,0.04,47.88,-0.711,-0.933,-0.09,-0.657,0.289,0.677,0.971,302.55,-0.737,1.253,0.658,-0.282,-0.523,-0.505,1
"1733",-2.903,0.351,0.275,2.153,2.513,61.35,-1.962,4.378,3.356,3.03,2.934,53.41,-2.817,-0.602,-3.556,2.399,3.405,2.168,3.324,59.73,-1.877,1.519,0.735,-0.49,1.586,1.331,1
"26461",-0.173,-0.157,0.046,0.212,0.091,81.85,-0.153,0.286,1.081,0.373,0.04,71.53,-0.29,0.275,-0.166,-1.17,0.456,0.279,-0.014,298.05,-0.377,0.172,1.294,1.127,-0.012,-0.089,1
"581",-1,-0.636,-0.366,-1.108,0.267,108.57,1.204,-0.041,0.765,0.521,1.125,56.4,-0.711,0.275,-0.899,-0.83,0.769,0.922,0.904,180.17,-1.067,2.488,0.409,0.273,0.941,0.825,1
"5396",2.107,0.126,0.298,-0.254,-0.702,89.47,0.299,0.123,-1.258,-0.586,0.092,251.4,0.552,0.499,2.689,1.356,-1.49,-0.109,1.421,267.77,0.253,-1.359,0.649,0.134,-0.683,-0.591,1
"4100",0.469,0.972,0.985,-0.331,0.091,90.01,0.299,-0.287,0.638,-0.439,0.04,107.13,0.131,0.139,0.307,-0.372,-0.031,-0.727,-0.199,235.66,0.583,-0.91,-0.528,-0.651,-0.867,-0.658,1
"704",-0.912,-0.524,-1.053,-2.971,-0.261,181.69,3.013,2.414,-1.51,-3.243,0.764,207.11,3.078,0.363,-1.022,1.163,-0.355,-2.411,-0.014,212.93,2.352,-0.833,0.245,0.55,0.722,0.748,1
"33221",0.442,1.114,1.077,0.523,0.091,83.18,-0.605,0.286,1.017,-0.808,-0.115,114.96,0.552,-1.313,-0.014,0.182,-0.367,-1.028,-0.612,235.77,0.883,0.219,0.761,0.457,-1.163,-1.227,1
"1515",-1.332,-0.58,-0.274,-0.021,0.311,83.66,-0.153,0.041,0.891,0.152,0.867,76.18,-0.29,0.07,-1.525,-1.318,1.009,0.33,0.168,208.22,-0.467,1.472,1.139,1.035,0.898,0.734,1
"5099",-0.237,-0.721,-0.389,-0.176,-1.142,85.79,0.299,-0.368,-0.689,-0.882,0.04,215.16,1.394,0.821,0.093,0.238,-0.462,-0.962,0.89,238.87,1.123,0.254,1.001,0.18,0.553,0.57,1
"26521",-0.611,0.041,0.23,-0.021,-0.261,85.52,-0.153,0.123,1.017,0.004,-0.27,83.12,0.131,-0.144,-0.579,-0.972,0.3,0.376,0.326,296.43,-0.527,2.263,0.993,1.843,0.176,-0.121,1
"2148",-0.232,-1.37,-1.053,0.057,0.223,164.04,0.299,-0.696,-0.752,-0.07,-1.2,280.46,0.131,0.898,0.46,-1.297,0.658,0.34,-0.874,153.11,-0.287,0.165,-0.391,-0.651,0.765,1.008,1
"22651",0.309,0.577,0.665,0.367,-0.129,82.74,-0.153,-0.205,0.701,-0.365,-0.166,102.92,0.552,-0.465,0.032,0.507,-0.633,-1.069,-0.057,238.83,0.973,-0.177,1.474,1.704,-0.905,-0.99,1
"4042",0.079,-0.947,-0.595,-0.098,-0.217,81.74,0.299,0.368,-1.574,0.004,0.505,275.37,-0.29,0.548,0.475,0.146,-0.58,0.105,0.779,272.14,0.043,-0.667,-0.433,0.019,0.408,0.492,1
"2782",-0.516,0.21,0.367,-0.487,1.06,91.93,0.299,-0.205,0.259,-1.103,0.195,152.69,0.973,-0.29,-0.747,-0.911,0.403,-0.574,-0.74,224.29,0.403,1.023,-1.792,-1.205,-0.416,0.215,1
"36411",1.239,1.452,1.375,-0.642,-0.438,92.01,0.752,-0.696,0.196,-0.586,-0.27,136.74,0.552,-0.67,0.566,1.219,-1.361,-0.492,-0.622,258.95,0.493,-0.691,0.847,-0.905,-1.486,-1.55,1
"20901",0.201,0.182,0.344,0.057,0.223,84.99,-0.153,0.123,0.954,0.225,0.557,75.7,-0.29,-0.222,-0.09,-0.525,-0.088,0.064,-0.548,270.07,-0.167,-0.041,0.778,-0.443,-0.833,-0.463,1
"19121",0.02,0.182,0.344,-0.021,0.84,86.47,0.299,-0.205,0.765,-0.365,0.35,101.86,0.552,-0.835,-0.243,-0.031,-0.336,-0.701,0.05,244.04,0.643,-0.478,0.976,1.104,-0.616,-0.68,1
"491",-0.517,-1.286,-1.076,-0.875,-0.35,208.89,0.752,-0.941,-0.31,-0.513,-0.683,117.76,0.552,1.103,0.139,-1.43,0.83,-0.007,-0.504,172.19,-0.047,-0.076,-0.588,-1.252,0.988,1.172,1
"1993",-0.545,-1.37,-1.144,-0.487,0.443,253.25,0.752,-0.614,0.385,0.078,-0.27,70.39,0.131,0.879,0.032,-1.201,1.157,0.371,0.423,54.77,-0.197,0.863,0.469,1.081,1.061,0.851,1
"4670",-0.253,-0.241,0.001,-0.797,0.311,98.01,0.752,0.614,0.259,-1.915,-0.942,164.43,1.815,0.333,0.017,-0.031,0.392,-1.564,-1.251,202.37,1.123,0.739,-1.319,-0.744,-0.256,0.192,1
"36421",0.676,1.368,1.306,-0.176,-0.438,88.84,0.299,-0.778,0.259,0.078,-0.425,66.17,0.131,-1.03,0.108,0.192,-0.618,0.253,0.154,276.61,-0.437,-0.201,1.079,-0.72,-1.076,-1.075,1
"1713",-0.615,-0.89,-0.595,0.6,-1.671,58.65,-0.605,0.45,0.638,1.259,-1.097,33.94,-1.132,1.132,0.047,-0.352,1.374,1.208,-0.874,32.05,-1.247,-0.336,-1.414,-0.42,1.256,1.265,1
"3303",1.39,0.86,0.894,0.212,-0.57,85.47,-0.153,-1.187,0.006,-0.217,-0.166,104.44,0.131,0.353,1.406,0.477,-0.835,-0.216,-0.659,263.28,0.313,-1.045,0.641,-1.552,-0.883,-0.478,1
"21591",1.64,2.864,2.451,1.998,0.047,78.95,-1.51,-0.205,-0.057,-1.251,-0.27,164.34,0.973,-2.024,0.582,2.343,-1.757,-2.161,-1.24,237.04,2.142,-1.146,1.225,-0.397,-1.618,-1.908,1
"6371",-2.593,-0.157,-0.045,-0.953,4.495,100.21,0.752,2.905,2.913,-0.513,5.001,96.07,0.552,-1.254,-4.06,3.136,4.193,-1.171,0.013,104.8,1.093,2.298,1.68,0.432,0.879,0.806,1
"2003",-1.113,-0.693,-1.465,1.299,-1.759,319.91,-1.962,2.25,-2.774,1.259,-0.063,296.19,-1.553,0.372,-1.159,1.443,-1.509,0.289,1.976,278.21,-0.617,0.898,1.603,1.912,1.051,0.665,1
"3348",-0.627,0.126,0.275,0.523,-0.57,79.07,-0.605,0.777,1.333,0.742,2.004,63.4,-0.711,0.85,-0.609,-1.048,0.308,0.131,0.581,279.09,-0.497,2.039,1.165,1.473,0.697,0.51,1
