"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"1443",0.003,275.21,0.299,0.45,-1.637,-0.217,0.299,0.552,0.582,0.014,-0.492,-0.068,-0.111,0.527,0.916,1
"5758",0.135,94.98,0.752,0.123,1.017,0.004,0.402,0.131,-0.044,-0.189,-0.348,0.116,0.074,0.827,-0.941,1
"1101",0.443,81.74,0.299,-0.532,-0.815,0.225,0.867,-0.29,-0.64,-0.342,-0.184,0.478,0.195,0.85,0.127,1
"755",0.003,80.59,-0.153,1.268,1.713,0.742,-0.476,-0.711,-0.411,0.126,1.755,1.387,0.326,-0.466,0.617,1
"6524",0.575,85.05,-0.605,-0.532,0.449,0.004,-0.011,0.131,0.505,1.067,-1.052,-1.237,-0.656,1.035,-1.075,1
"483",4.275,349.45,-3.319,2.659,-0.752,3.547,4.536,-3.238,-1.8,2.749,0.289,4.5,4.426,0.873,1.226,1
"1884",0.752,81.14,-0.153,0.368,1.017,0.521,-0.631,-0.711,-1.083,-1.343,0.913,0.34,-0.031,1.127,1.141,1
"3426",-0.79,77.34,0.299,-0.45,0.385,0.373,-0.58,-0.29,-0.258,-0.748,1.458,0.549,-0.867,-1.321,1.427,1
"7500",-0.129,86.31,-0.153,0.532,1.207,0.521,1.229,-0.29,-1.464,-0.382,-0.168,-0.278,2.265,1.219,-0.083,1
"6724",-0.041,90.73,0.299,-0.859,0.196,-0.365,1.177,0.131,-0.197,0.207,-0.447,-0.808,1.963,1.589,-0.232,1
"4155",0.311,211.31,0.299,-0.205,-0.12,-0.365,-0.942,0.131,-1.22,-1.17,0.799,-0.002,-0.199,-0.029,1.058,1
"4979",-1.451,86.16,0.299,-0.778,-0.626,-0.513,0.35,0.552,0.2,0.945,-1.144,-0.584,0.242,0.55,-0.38,1
"6272",0.443,68.16,-1.51,-0.696,0.322,0.152,0.35,-0.29,0.276,0.182,-0.607,-0.288,0.521,1.243,-0.77,1
"6657",-0.878,75.7,-0.605,-0.696,-0.626,-0.513,0.505,0.552,0.841,2.719,-2.138,-1.998,-0.004,1.774,-0.305,1
"4144",0.531,175.9,-0.153,-0.041,0.575,0.816,-0.942,-0.711,0.612,-0.647,1.393,0.805,-1.052,-0.607,1.186,1
"1776",0.531,65.14,0.299,-1.105,-0.183,0.152,0.609,-0.29,-1.266,-1.267,0.628,0.146,1.169,1.658,1.086,1
"2511",0.575,86.94,0.299,-1.023,0.069,0.078,0.247,0.131,0.597,-0.992,0.273,0.172,0.178,-0.12,0.326,1
"4047",-1.803,64,-0.605,-0.123,-1.131,0.225,-1.045,-0.711,0.612,1.123,-1.323,0.304,0.141,0.802,0.739,1
"1254",-0.526,170.81,-0.605,0.286,0.322,1.259,-0.58,-1.132,-0.044,-0.601,1.256,0.988,-0.686,0.134,1.261,1
"1842",-1.186,58.8,-1.058,-0.614,-0.689,0.299,-0.115,-0.29,-0.533,-0.586,0.003,0.437,0.01,-0.282,0.74,1
"6612",0.531,77.71,-1.058,1.432,1.776,1.037,-0.528,-1.132,-0.548,-1.043,1.043,0.677,0.299,0.527,-0.141,1
"6131",-0.966,83.29,-0.605,-0.123,-0.942,-0.808,-0.166,0.973,1.147,2.124,-1.932,-1.196,-0.857,-0.212,-1.062,1
"282",-0.658,112.23,0.752,-0.45,0.385,0.447,-1.2,-0.711,-0.548,-0.398,1.032,1.244,-0.746,0.734,0.738,1
"2722",0.663,98.98,0.299,-0.778,-0.12,0.373,-0.683,-0.711,-0.35,-0.276,0.525,1.458,-0.283,-0.051,0.284,1
"6266",1.368,76.79,-1.51,-0.123,-0.879,-0.882,-0.321,0.973,1.483,1.26,-1.338,-0.803,0.87,-0.744,-1.422,1
"6879",-0.129,75.46,-1.51,-0.123,0.575,-0.882,-0.115,0.973,0.704,2.017,-1.445,-2.171,-0.646,1.635,-1.335,1
"2868",0.091,63.48,-0.605,-0.205,-0.183,0.89,-1.045,-0.711,0.536,-0.942,0.757,0.845,-0.125,0.665,1.113,1
"276",-0.658,89.3,0.299,-1.105,0.069,0.004,0.299,0.131,-0.35,0.66,-0.976,-0.15,1.092,1.982,0.124,1
"6600",0.267,98.16,2.109,0.859,-0.057,-2.21,-0.063,2.236,0.185,2.709,-1.757,-2.743,-2.353,-0.189,-1.984,1
"1329",-0.129,81.95,0.299,-0.778,0.322,0.078,0.919,0.131,0.047,-0.342,-0.191,-0.349,0.88,1.566,0.311,1
